index,familia,latin name,migrant,portugues,english,iucn,mma,description
56,Accipitridae,Buteo swainsoni,MGT,gavi�o-papa-gafanhoto,Swainson's Hawk,,," breeds in central and western North America and migrates to South America in boreal winter, especially to northern Argentina, southern Brazil and Paraguay (White et al., 1994). It apparently moves through the inland of the continent heading to the Pampas in Argentina, Uruguay and Brazil and it overwinters on the Atlantic coast in southern Brazil (Antas, 1987; Sick, 1997). It is suspected that age separation exists since there is a great concentration of juveniles in Argentina (White et al., 1994) and of immature individuals in Brazil (Sick, 1997) during boreal winter. Studies with satellite transmitters showed that this species gathers on the eastern coast of Mexico and flies from there mainly along the Pacific coast and eastern Andes until it reaches central Argentina, and there are some localized records for instance for RR (Stotz et al., 1992; White et al., 1994). Radio-satellite data showed that the northbound and southbound migration routes use similar paths comprised almost entirely of continental stretches, except in Central America, where some coastal stretches are used (Fuller et al., 1998). One individual banded in Oklahoma (USA) was recovered in AC in February and one chick banded in Alberta (Canada) in August was recovered in November of the same year in RS (Belton, 1984; Sick, 1997). This species can be observed in Tocantins (TO) in March and August (Dornas & Pinheiro, 2011) and in RJ, SP, PR, SC and RS between November and January, and a flock of over 100 individuals has also been reported in AM in November (WikiAves, 2016). Additionally, there is one collected specimen from SC in October (MZUSP 92336)."
57,Charadriidae,,MGT,,,,,
58,Charadriidae,Pluvialis dominica,MGT,batuiru�u,American Golden-Plover,,," exhibits an elliptic pattern of migration. After breeding in the tundra of northern Canada and Alaska, it migrates to Hudson and James Bay in August, from where it crosses the Atlantic � on a nonstop flight when climate conditions are favorable (Wiersma, 1996) � following a costal pathway until it reaches its wintering area in southern South America in early September, namely the Pampas of RS, Paraguay and Argentina, with records of some individuals reaching Tierra del Fuego regularly (Wiersma, 1996; Morrison et al., 2008). During the non-breeding season from September to April, it was recorded in all Brazilian states except MA, PB, SE, BA and ES (WikiAves, 2016). There are population peaks in October and December on the beaches and lagoons in RS (Vooren & Chiaradia, 1990; Dias et al., 2011), large numbers of individuals in November and December in the Para�ba do Sul River Valley in SP (Crozariol, 2011), in the Amazonian region between September and March, presenting peaks in October and November in Manaus/AM and in September and October in RR (Stotz et al., 1992). The species begins its return to the breeding site between January and April through inland South and Central America (Sick, 1983; Wiersma, 1996), quickly reaching northern South America, and going from there to southern USA through the grasslands as far as Canada (Antas, 1987)."
61,Charadriidae,Pluvialis squatarola,MGT,batuiru�u-de-axila-preta,Black-bellied Plover,,," breeds in the Arctic, in the tundra in northern Canada, Alaska and Russia. It leaves its breeding areas heading south between July and September, and juveniles depart 5 to 6 weeks after adults. In general, this species reaches the coast of Guyana and then the Gulf of Maranh�o during fall migration. The return from its wintering areas (coasts of North, Central and South America) occurs between April and mid-May (Wiersma, 1996). Although there are localized records in November for the Marchantaria and Anavilhanas Islands (Stotz et al., 1992), most records are associated with coastal areas throughout the Brazilian coast and are centered in the period between September and May (WikiAves, 2016; MZUSP; MPEG; MNRJ). There are records in all months of the year for RS, but the species is recorded mainly from September to April in this state (Belton, 1994)."
62,Charadriidae,Charadrius semipalmatus,MGT,batu�ra-de-bando,Semipalmated Plover,,," departs from breeding sites in Canada between July and September (adults fly before juveniles) and overwinters on the coast and on all major islands from North, Central and South America. It reaches South America between September and early November and returns from April forward. In boreal spring, Delaware Bay, USA is an important stopover area, where around 70% of the population meets to prey on larvae of the horseshoe crab Limulus polyphemus (Wiersma, 1996). As part of its pathway, it flies across Brazil from S�o Lu�s and the mouth of the Parna�ba River to the Ba�a de Todos os Santos (Antas, 1983), reaching the coast of SP in late August and early September, where it remains during spring and the beginning of summer. The number of individuals begins to decrease in mid-April when adults return to the Northern Hemisphere for breeding and only juveniles remain. It is suggested that the municipality of Ilha Comprida/SP is one of the stopover areas for foraging and resting during the return migration to the Northern Hemisphere (April) and to foraging areas in the Southern Hemisphere (September) (Barbieri et al., 2000). The species appears to be present in Lagoa do Peixe/RS throughout the year, reaching as many as 300 individuals in March (Belton, 1984). There are records for the Amazon Basin in Macap�/AP, Manaus/AM and PA between September and December (Stotz et al., 1992; Campos et al., 2008; Cintra et al., 2011; Silva, 2011b; Valente, 2011). Charadrius modestus breeds in southern South America, on the Malvinas/Falklands, and departs between March and April to its northern wintering areas, which includes Buenos Aires, Argentina and the southern and southeastern regions of Brazil (as far as RJ), and returns between August and September (Belton, 1984; Wiersma, 1996; Azpiroz et al., 2012). It apparently exhibits two migratory routes: one over the Pacific and another over the Atlantic (Blanco et al., 2004). Records confirm the presence of this species between April and August in RJ, SP, PR, SC and RS (Cestari, 2008; Ghizoni-Jr. & Azevedo, 2010; Simpson & Simpson, 2011; WikiAves, 2016; MZUSP)."
63,Charadriidae,Oreopholus ruficollis,MGT,batu�ra-de-papo-ferrug�neo,Tawny-throated Dotterel,,," the subspecies O. r. ruficollis breeds in southern South America, on Chilean coastal islands and in Tierra del Fuego. It migrates in March-April to Ecuador and extreme southern Brazil (Sick, 1997), reaching RS between May and July (Belton, 1984) and possibly reaching SC and RJ, and returning to its breeding sites between August and September (Wiersma et al., 2016). There are records for RJ in May, SC in June and RS from April to August, which confirms this pattern (Maciel & Blanco, 2014; WikiAves, 2016)."
64,Chionidae,,MGT,,,,,
65,Chionidae,Chionis albus,MGT,pomba-ant�rtica,Snowy Sheathbill,,," breeds on the Antarctic Peninsula, on South Shetland, Elephant, South Orkney and South Georgia islands and probably on South Sandwich Islands (Harrison, 1983). Most individuals depart from the breeding site between late April and early July and although its migratory routes are little known, its main wintering areas seem to be the Malvinas/Falklands, Tierra del Fuego and southern Patagonia, with some individuals reaching Uruguay (Burger, 1996). Burger (1996) suggests that this species isVAGrant in Brazil, as Accordi & Hartz (2013) classified it for RS, where it was recorded for the first time in May 1973 (Belton, 1974). However, its occurrence is limited to the period between April and August in the southern states of PR, SC and RS (Dias et al., 2010a), which is also illustrated by photographic records available for RS (WikiAves, 2016)."
66,Scolopacidae,,MGT,,,,,
67,Scolopacidae,Limnodromus griseus,MGT,ma�arico-de-costas-brancas,Short-billed Dowitcher,,CR," females depart before males and juveniles from breeding areas in Alaska, USA and Canada in early July, and the species overwinters in the USA, Central America and the coast of South America (van Gils & Wiersma, 1996). It seems that individuals fly non-stop when migrating south from North America and across the Atlantic to Suriname, where there are population peaks between September and November; when migrating north, its route seems to go through the coast of Guyana and from there across the Atlantic (Rodrigues, 2000). The species seems to use the coast of MA as a stopover area before flying south between September and December to the wintering areas (Carvalho & Rodrigues, 2011). Records confirm this species� presence in Brazil for PA, MA, PI, CE, RN, SE, BA, RJ and RS mainly from October to March (WikiAves, 2016; MZUSP, MPEG, MNRJ). There are also records between April and September for AP, PA, MA, PI, CE, RN and BA (WikiAves, 2016; MZUSP, MPEG, MNRJ), probably of non-breeding individuals, since several one-year-old shorebirds mostly stay on wintering grounds through first summer (Cristol et al., 1999)."
68,Scolopacidae,Limosa haemastica,MGT,ma�arico-de-bico-virado,Hudsonian Godwit,,," after breeding in the Arctic, a large part of its population gathers along Hudson Bay and James Bay in Canada between late July and mid-August (van Gils & Wiersma, 1996). The species crosses the Atlantic and reaches northern South America, including the Amazon Basin, at the Sustainable Development Reserves of Mamirau� (Melo et al., 2011), Aman� (Santos et al., 2011) and Piaga�u-Purus (Cintra et al., 2011), Anavilhanas National Park (Cintra & Rosas, 2011), Alto Guapor� region (d�Horta, 2011) and the Pantanal (Pocon�/ MT; Cintra, 2011) between September and November. From October to April, the species reaches southern Brazil in SP, PR, SC and RS (Vallejos et al., 2011; Krul et al., 2011; Ferreira et al., 2011; Fedrizzi & Carlos, 2011; Dias, 2011; Barbieri, 2011; MZUSP), in addition to Uruguay and Argentina. Over 1,000 individuals use the Lagoa do Peixe National Park as a stopover site during migration (Belton, 1994; Nascimento, 2011), but their main wintering areas are in extreme southern South America, Tierra del Fuego and southern central Chile. The young appear to depart after the adults, and the return to the north from April onwards is completed with use of little or no (Harrington et al., 1986) stopover sites (van Gils & Wiersma, 1996)."
